N,Fitness
1,1.0889312308373962
2,1.0889312308373962
3,1.0889312308373962
4,1.5570365695886497
5,1.7658559424252385
6,1.9481845625910834
7,2.0112254166547068
8,2.031799688887286
9,2.1033687742439664
10,2.1033687742439664
11,2.2491013945982585
12,2.29408738073418
13,2.3341270946742023
14,2.3341270946742023
15,2.3341270946742023
16,2.898192278730475
17,2.898192278730475
18,2.898192278730475
19,3.0168587086825935
20,3.0168587086825935
21,3.0358276130314747
22,3.114647251022902
23,3.139165679206096
24,3.2415360967409557
25,3.2415360967409557
26,3.2415360967409557
27,3.2415360967409557
28,3.2415360967409557
29,3.355860029531084
30,3.449422838502845
31,3.4973373677554234
32,3.5508163445816407
33,3.5508163445816407
34,3.75459826808922
35,3.851456328983294
36,3.851456328983294
37,4.111811341156661
38,4.2092616126440925
39,4.2092616126440925
40,4.2696578205414335
41,4.2696578205414335
42,4.371215713016588
43,4.371215713016588
44,4.371215713016588
45,4.371215713016588
46,4.562961906164867
47,4.562961906164867
48,4.562961906164867
49,4.598086780859403
50,4.598086780859403
51,4.598086780859403
52,4.598086780859403
53,4.710732449474147
54,4.710732449474147
55,4.710732449474147
56,4.710732449474147
57,4.7275716007861295
58,4.7275716007861295
59,4.7275716007861295
60,4.7275716007861295
61,4.802180825403904
62,4.802180825403904
63,4.882826365104892
64,4.992479422601516
65,4.992479422601516
66,4.992479422601516
67,4.992479422601516
68,4.992479422601516
69,4.992479422601516
70,4.992479422601516
71,5.1729083710434525
72,5.1729083710434525
73,5.184900286768858
74,5.337698067794122
75,5.337698067794122
76,5.337698067794122
77,5.337698067794122
78,5.397845692240112
79,5.397845692240112
80,5.397845692240112
81,5.397845692240112
82,5.397845692240112
83,5.397845692240112
84,5.397845692240112
85,5.446746573875236
86,5.446746573875236
87,5.446746573875236
88,5.446746573875236
89,5.446746573875236
90,5.446746573875236
91,5.446746573875236
92,5.446746573875236
93,5.446746573875236
94,5.446746573875236
95,5.446746573875236
96,5.446746573875236
97,5.446746573875236
98,5.446746573875236
99,5.446746573875236
100,5.446746573875236
101,5.446746573875236
